src,teamSrc,team,name
https://cdn.nba.com/headshots/nba/latest/260x190/1630167.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Obi Toppin
https://cdn.nba.com/headshots/nba/latest/260x190/1629308.png,https://cdn.nba.com/logos/nba/1610612744/primary/L/logo.svg,Golden State Warriors,Juan Toscano-Anderson
https://cdn.nba.com/headshots/nba/latest/260x190/1626157.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,Minnesota Timberwolves,Karl-Anthony Towns
https://cdn.nba.com/headshots/nba/latest/260x190/1629018.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,Toronto Raptors,Gary Trent
https://cdn.nba.com/headshots/nba/latest/260x190/200782.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Miami Heat,P.J. Tucker
https://cdn.nba.com/headshots/nba/latest/260x190/1626167.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,Indiana Pacers,Myles Turner
https://cdn.nba.com/headshots/nba/latest/260x190/202685.png,https://cdn.nba.com/logos/nba/1610612740/primary/L/logo.svg,New Orleans Pelicans,Jonas Valanciunas
https://cdn.nba.com/headshots/nba/latest/260x190/1627756.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,Cleveland Cavaliers,Denzel Valentine
https://cdn.nba.com/headshots/nba/latest/260x190/1627832.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,Toronto Raptors,Fred VanVleet
https://cdn.nba.com/headshots/nba/latest/260x190/1629020.png,https://cdn.nba.com/logos/nba/1610612750/primary/L/logo.svg,Minnesota Timberwolves,Jarred Vanderbilt
https://cdn.nba.com/headshots/nba/latest/260x190/1630170.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,San Antonio Spurs,Devin Vassell
https://cdn.nba.com/headshots/nba/latest/260x190/1629216.png,https://cdn.nba.com/logos/nba/1610612748/primary/L/logo.svg,Miami Heat,Gabe Vincent
https://cdn.nba.com/headshots/nba/latest/260x190/202696.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Chicago Bulls,Nikola Vucevic
https://cdn.nba.com/headshots/nba/latest/260x190/1629731.png,https://cdn.nba.com/logos/nba/1610612739/primary/L/logo.svg,Cleveland Cavaliers,Dean Wade
https://cdn.nba.com/headshots/nba/latest/260x190/1630532.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,Orlando Magic,Franz Wagner
https://cdn.nba.com/headshots/nba/latest/260x190/1629021.png,https://cdn.nba.com/logos/nba/1610612753/primary/L/logo.svg,Orlando Magic,Moritz Wagner
https://cdn.nba.com/headshots/nba/latest/260x190/1630688.png,https://cdn.nba.com/logos/nba/1610612756/primary/L/logo.svg,Phoenix Suns,Ish Wainright
https://cdn.nba.com/headshots/nba/latest/260x190/202689.png,https://cdn.nba.com/logos/nba/1610612752/primary/L/logo.svg,New York Knicks,Kemba Walker
https://cdn.nba.com/headshots/nba/latest/260x190/1629022.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,San Antonio Spurs,Lonnie Walker
https://cdn.nba.com/headshots/nba/latest/260x190/202322.png,https://cdn.nba.com/logos/nba/1610612745/primary/L/logo.svg,Houston Rockets,John Wall
https://cdn.nba.com/headshots/nba/latest/260x190/202954.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,Indiana Pacers,Brad Wanamaker
https://cdn.nba.com/headshots/nba/latest/260x190/203933.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,Indiana Pacers,T.J. Warren
https://cdn.nba.com/headshots/nba/latest/260x190/1629023.png,https://cdn.nba.com/logos/nba/1610612766/primary/L/logo.svg,Charlotte Hornets,P.J. Washington
https://cdn.nba.com/headshots/nba/latest/260x190/1630613.png,https://cdn.nba.com/logos/nba/1610612754/primary/L/logo.svg,Indiana Pacers,Duane Washington
https://cdn.nba.com/headshots/nba/latest/260x190/1629139.png,https://cdn.nba.com/logos/nba/1610612761/primary/L/logo.svg,Toronto Raptors,Yuta Watanabe
https://cdn.nba.com/headshots/nba/latest/260x190/1630570.png,https://cdn.nba.com/logos/nba/1610612757/primary/L/logo.svg,Portland Trail Blazers,Trendon Watford
https://cdn.nba.com/headshots/nba/latest/260x190/1628778.png,https://cdn.nba.com/logos/nba/1610612760/primary/L/logo.svg,Oklahoma City Thunder,Paul Watson
https://cdn.nba.com/headshots/nba/latest/260x190/201566.png,https://cdn.nba.com/logos/nba/1610612747/primary/L/logo.svg,Los Angeles Lakers,Russell Westbrook
https://cdn.nba.com/headshots/nba/latest/260x190/1629632.png,https://cdn.nba.com/logos/nba/1610612741/primary/L/logo.svg,Chicago Bulls,Coby White
https://cdn.nba.com/headshots/nba/latest/260x190/1628401.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,San Antonio Spurs,Derrick White
https://cdn.nba.com/headshots/nba/latest/260x190/202355.png,https://cdn.nba.com/logos/nba/1610612762/primary/L/logo.svg,Utah Jazz,Hassan Whiteside
https://cdn.nba.com/headshots/nba/latest/260x190/1630580.png,https://cdn.nba.com/logos/nba/1610612759/primary/L/logo.svg,San Antonio Spurs,Joe Wieskamp
